id,itemnr,name,category,description,Cost Price,Price,quantity,,,,,,,,,,,,
133,,Glen -Induction - 3070,Induction Cooker,Model - 3070,2249,2473,0,,,,,,,,,,,,
134,,Glen -Electric Ketle - 9008,Mixer Grinder Toster,Model - 9008,1924,2116,0,,,,,,,,,,,,
135,,Glen -Hand Blender,Mixer Grinder Toster,Model - 4044,1165,1281,0,,,,,,,,,,,,
136,,Glen -Chopper,Mixer Grinder Toster,Model - Chopper 4043 + ,1600,1760,0,,,,,,,,,,,,
137,,Intex - 2650 - 2.1,Home Theater,Model - 2650,1800,1980,0,,,,,,,,,,,,
138,,Samsung - 250 Litre ,Refregerator,Model - RT27JAR2EPX,24700,24700,1,,,,,,,,,,,,
139,,Zebronics - Model - 2660 - 2.1,Home Theater,Model - 2660,1655,1820,0,,,,,,,,,,,,
140,,Zebronics - Model - 3390 - 4.1,Home Theater,Model - 3390,1825,1825,1,,,,,,,,,,,,
141,,Zebronics - 5.1 - Model - 6100,Home Theater,Model - 6100,2568,2833,0,,,,,,,,,,,,
142,,Carrier - AC - 1.5 Ton,Air Conditioner,Model - 18 Duraedy ,33300,36630,0,,,,,,,,,,,,
143,,Philips - Hairdryer - BT 1000,Hair Dryer,Model - BT 1000,804,884,0,,,,,,,,,,,,
144,,Philips - Hairdryer - QT4006,Hair Dryer,Model - 4006,1372,1499,0,,,,,,,,,,,,
145,,Refrigator trolly ,Trolly ,PVC,130,200,0,,,,,,,,,,,,
146,,Washing machine Trolly,Trolly ,Fibre,275,350,0,,,,,,,,,,,,
147,,HDMI Cord,MISC,Cord,150,150,2,,,,,,,,,,,,
148,,Emergency Light,Light,Model - Dolphin,650,850,0,,,,,,,,,,,,
149,,Extension Box,MISC,Model - Skill,110,110,2,,,,,,,,,,,,
150,,MagiCook - 2 Cup  - Mixer,Mixer Grinder Toster,Model- Rex,1200,1500,0,,,,,,,,,,,,
151,2,Samsung 6.2 kg W/M,Washing Machine,Model - WT62H22,10450,10450,1,,,,,,,,,,,,
152,4,Videocon 7.2 kg W/M ,Washing Machine,Model - 72H13,10000,10000,1,,,,,,,,,,,,
153,5,Videocon - 7.5 kg W/M,Washing Machine,Model - 75Z12,10450,10450,1,,,,,,,,,,,,
154,6,Videocon - 6.5 kg W/M,Washing Machine,Model - VT65E12,12650,12650,1,,,,,,,,,,,,
155,7,IFB 5.5 kg W/M,Washing Machine,Model - EVA   AQUA,24999,24999,1,,,,,,,,,,,,
156,8,LLoyd 6.5 ,Washing Machine,Model - 565L,7590,7590,0,,,,,,,,,,,,
163,,Crompton Winzer C/F,Ceiling Fan,Model - Winzer,1280,1280,4,,,,,,,,,,,,
164,1,Glen Mixer Griender 550w,Mixer Grinder Toster,MOD 4021,2300,2300,2,,,,,,,,,,,,
165,2,GLEN MIXER GRINDER 600W,Mixer Grinder Toster,MOD 4027,2900,2900,2,,,,,,,,,,,,
166,,IFB - Oven ,Oven,Model - 20PMIS,5691,5691,1,,,,,,,,,,,,
167,,Pureflames,Gas Oven,Model - Nil,1950,1950,1,,,,,,,,,,,,
168,,Pure It Compect 1600,Water Filter,Model - 14L,1631,1631,2,,,,,,,,,,,,
